DATE,NASDAQCOM
9/21/18,7986.957
9/24/18,7993.25
9/25/18,8007.473
9/26/18,7990.367
9/27/18,8041.969
9/28/18,8046.352
10/1/18,8037.301
10/2/18,7999.547
10/3/18,8025.086
10/4/18,7879.512
10/5/18,7788.445
10/8/18,7735.949
10/9/18,7738.016
10/10/18,7422.051
10/11/18,7329.059
10/12/18,7496.895
10/15/18,7430.742
10/16/18,7645.488
10/17/18,7642.703
10/18/18,7485.141
10/19/18,7449.027
10/22/18,7468.629
10/23/18,7437.539
10/24/18,7108.402
10/25/18,7318.336
10/26/18,7167.211
10/29/18,7050.293
10/30/18,7161.648
10/31/18,7305.898
11/1/18,7434.059
11/2/18,7356.996
11/5/18,7328.852
11/6/18,7375.965
11/7/18,7570.754
11/8/18,7530.887
11/9/18,7406.902
11/12/18,7200.867
11/13/18,7200.875
11/14/18,7136.391
11/15/18,7259.031
11/16/18,7247.871
11/19/18,7028.477
11/20/18,6908.824
11/21/18,6972.25
11/22/18,.
11/23/18,6938.984
11/26/18,7081.852
11/27/18,7082.699
11/28/18,7291.594
11/29/18,7273.082
11/30/18,7330.535
12/3/18,7441.512
12/4/18,7158.426
12/5/18,.
12/6/18,7188.258
12/7/18,6969.254
12/10/18,7020.52
12/11/18,7031.832
12/12/18,7098.313
12/13/18,7070.336
12/14/18,6910.664
12/17/18,6753.734
12/18/18,6783.91
12/19/18,6636.828
12/20/18,6528.406
12/21/18,6332.996
12/24/18,6192.918
12/25/18,.
12/26/18,6554.355
12/27/18,6579.492
12/28/18,6584.523
12/31/18,6635.277
1/1/19,.
1/2/19,6665.938
1/3/19,6463.504
1/4/19,6738.855
1/7/19,6823.469
1/8/19,6897
1/9/19,6957.078
1/10/19,6986.066
1/11/19,6971.477
1/14/19,6905.914
1/15/19,7023.836
1/16/19,7034.691
1/17/19,7084.465
1/18/19,7157.227
1/21/19,.
1/22/19,7020.355
1/23/19,7025.766
1/24/19,7073.461
1/25/19,7164.863
